GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1400000US44007002700,44007002700,"Census Tract 27, Providence County, Rhode Island",4275,486,917,338,1024,337,241,183,197,152,279,154,236,169,1381,400
1400000US44007002800,44007002800,"Census Tract 28, Providence County, Rhode Island",5845,763,618,322,862,536,569,373,583,399,501,268,223,244,2489,698
1400000US44007002900,44007002900,"Census Tract 29, Providence County, Rhode Island",6742,560,624,224,949,445,223,94,189,104,586,292,153,135,4018,655
1400000US44007003100,44007003100,"Census Tract 31, Providence County, Rhode Island",4143,482,896,386,974,591,151,103,319,166,236,238,271,286,1296,321
1400000US44007003200,44007003200,"Census Tract 32, Providence County, Rhode Island",3130,342,103,86,2,4,24,39,312,218,97,67,32,41,2560,365
1400000US44007003300,44007003300,"Census Tract 33, Providence County, Rhode Island",3549,346,83,80,234,147,23,24,45,69,187,146,86,95,2891,343
1400000US44007003400,44007003400,"Census Tract 34, Providence County, Rhode Island",5111,406,270,189,77,83,45,71,0,18,121,89,88,139,4510,418
1400000US44007003500,44007003500,"Census Tract 35, Providence County, Rhode Island",4886,498,315,181,325,180,131,80,183,132,227,160,145,174,3560,567
1400000US44007003601,44007003601,"Census Tract 36.01, Providence County, Rhode Island",1960,314,610,270,290,174,28,34,35,31,60,41,0,13,937,138
1400000US44007003602,44007003602,"Census Tract 36.02, Providence County, Rhode Island",1644,226,312,182,69,54,26,41,0,18,169,186,37,49,1031,188
1400000US44007003700,44007003700,"Census Tract 37, Providence County, Rhode Island",3448,340,392,154,387,202,229,141,126,71,169,102,0,13,2145,287
1400000US44007010101,44007010101,"Census Tract 101.01, Providence County, Rhode Island",3987,271,158,154,140,99,37,35,160,127,257,108,141,192,3094,356
